Random/Known,max_iterations,min_tabu_size,max_tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,10,30,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0135495662689208,140.46875,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,30,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.1418826580047607,143.109375,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,30,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.4221079349517822,145.68359375,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,10,30,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0126733779907226,148.3125,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,30,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.1444036960601806,151.0078125,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,30,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.5671021938323977,153.72265625,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,10,30,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.012491226196289,156.0234375,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,30,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.1399028301239013,158.91015625,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,30,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.690488576889038,161.625,"[3, 8, 7, 2, 17, 14, 11, 4, 6, 9, 15, 19, 12, 0, 10, 5, 18, 16, 13, 1]",345.17319132744467
Known,10,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.19083070755004883,88.6640625,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 26, 1, 37, 28, 41, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 13, 18, 16, 12]",661.7525792442451
Known,100,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",2.1375250816345215,96.51953125,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 13, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 16, 18, 12]",651.9891574812326
Known,1000,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",20.502012252807617,100.20703125,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 13, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 16, 18, 12]",651.9891574812326
Known,10,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.18464255332946777,103.70703125,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 26, 1, 37, 28, 41, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 13, 18, 16, 12]",661.7525792442451
Known,100,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",1.971519947052002,107.2578125,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 13, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 16, 18, 12]",651.9891574812326
Known,1000,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",22.133923053741455,110.93359375,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 13, 26, 1, 37, 28, 41, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 45, 16, 18, 12]",649.022926924781
Known,10,10,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.20442724227905273,114.6796875,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 26, 1, 37, 28, 41, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 20, 22, 13, 18, 16, 12]",661.7525792442451
Known,100,10,150,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",2.112452745437622,118.12109375,"[0, 27, 44, 10, 5, 38, 46, 29, 24, 13, 28, 37, 1, 26, 45, 3, 8, 48, 34, 35, 30, 11, 4, 6, 23, 15, 39, 19, 49, 21, 42, 31, 47, 9, 36, 17, 14, 40, 2, 43, 25, 7, 33, 32, 22, 20, 41, 16, 18, 12]",651.9891574812326
