Random/Known,max_iterations,tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,100,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.24643516540527344,118.92578125,[ 2 17 14 11  4  6  9 15 19 12  0 10  5 18 16 13  1  3  8  7],345.17319132744456
Known,1000,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.7649004459381104,120.17578125,[10  0 12 19 15  9  6  4 11 14 17  2  7  8  3  1 13 16 18  5],345.17319132744456
Known,5000,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",13.026082515716553,122.546875,[19 12  0  9  6  4 11 14 17  2  7 16 10  5 18 13  1  3  8 15],401.0598318252183
Known,10,200,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.023281335830688477,107.9765625,[ 0 12 19  3  8 15  9  6  4 11 17 14  2  7  1 13 16 18  5 10],373.5610551439113
Known,100,200,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.2613668441772461,109.51953125,[19 12  0 10  5 18 16 13  1  3  8  7  2 17 14 11  4  6  9 15],345.17319132744456
Known,1000,200,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",3.2759716510772705,110.96484375,[18  5 10  0 12 19 15  9  6  4 11 14 17  2  7  8  3  1 13 16],345.1731913274446
Known,5000,200,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",18.618609189987183,112.546875,[19 12  0 10  5 18 16 13  1  3  8  7  2 17 14 11  4  6  9 15],345.17319132744456
Known,10,10,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.3176867961883545,114.5390625,"[ 5 27 13 41  1 28 12 47 42 36  6 20  7 32  8 14  4 17 40 15 18 38  0 44
 49 21 31  9 16 24 29 46 19 30 33 25 48 34 45  3 22 37 26 23 35  2 43 11
 39 10]",1337.72349920804
Known,100,10,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.1507391929626465,116.2109375,"[22 32 33 43 35  6 23 15  0 27 44 10  5 38 13  1 37 28 24 46 29 18 16  4
 11 30 40  2 14 17 36  9 47 31 42 21 49 12 19 39 45 26 41  3  8 48 34 25
  7 20]",725.3461991413898
Known,1000,10,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",31.767717123031616,117.6875,"[36 43 25  7 20 41 26 10 44 27  0 12 39  3 45 16 18  5 38 46 29 24 13  1
 37 28 22 32 33  2 40 14 17 30 11 35 34 48  8  4  6 23 15 19 49 21 42 31
 47  9]",743.8883003486479
Known,5000,10,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",157.32718682289124,119.125,"[29 13 22 20 32 33  7 25 43  2 40 30 11  4 31 42  9 14 17 36 47 21 49  0
 27 44 10 12 39 45  3 41 26  1 37 28 24 46 38  5 16  8 48 34 35  6 23 15
 19 18]",803.4263664850457
Known,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.3231673240661621,108.48828125,"[ 9 31 43 33 25  8  6 20 22 32  7 48  3 37  1 28 26 17 40 18  5 44 39 34
 19 42 47 36 23 35 14  2 11 21 27  0 12 10 16 41 45 30  4 13 46 38 29 24
 15 49]",1355.6007509941035
Known,100,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.459799289703369,110.03515625,"[46 29 13 22 32 33  7 20 41 26 16 18 38  5 10 44 47  9 36 30 11  4  6 23
 34 48  8 15 31 42 49 21 27  0 12 19 39 45  3 35 17 14 40  2 43 25 28 37
  1 24]",796.3850853786034
Known,1000,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",34.16334056854248,111.54296875,"[28 37  1 26 45 39 16 12 19 11 30 35 34 25 20 41 18 38  5 27 21 47  6 23
 15  8 48  7 33 32 22 24 46 29  3 43  2 40 14 17  4 36  9 31 42 49  0 44
 10 13]",884.7825880067159
Known,5000,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",192.9804232120514,113.15625,"[25 34 48  8 23  6  4 11 30 40 43 35 15 19  0 49 21 42 31 47  9 36 17 14
  2 33  7 32 22 20 41 26 29 18 10 44 27  5 38 46 24 28 37  1 13 16 12 39
 45  3]",736.4054078334259
Known,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.3214449882507324,115.12890625,"[16 13  9 47 31 27  0 10 38 18 17 36 46 24 29  1 37 28  5 44 21 42 35 33
 32  2  3 20 22 41 26 45 14 40 48 39 15 34  8  6 49  4 23 11 30 43  7 25
 19 12]",1324.3270278543116
Known,100,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.4202847480773926,117.265625,"[47 42 21 27  5 38 46 29 24 28 37 45  3 35 30 11  4  6 23 31 49  0 44 10
 39  8 48 15 19 12 16 18 13  1 26 41 20 22 32 33  7 25 34 43  2 40 14 17
 36  9]",745.5544731517126
Known,1000,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",36.45289731025696,119.578125,"[23  6 35 34  3 45 29 24 46 38 18 16 13 26 41 20  2 40 14 17 11 30 43 25
  7 33 32 22 28 37  1  4 36  9 47 21 49 42 31 15 48  8 39 19 12  0 27  5
 10 44]",817.266447750181
Known,5000,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",202.7173557281494,110.2890625,"[ 4 11 30 35 34 25 33 32  7  3 45 16 44 27  0 12 39  8 48 20 22 41 28 37
  1 26 13 24 46 29 18 38  5 10 19 15 23  6 43  2 40 14 17 36  9 47 21 49
 42 31]",712.7521739993347
Known,10,200,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.31766486167907715,111.52734375,"[ 0 38 10 25  2 40 14 35  6 11  4 16  5 18 21 27 31  9 46 37 26 45 13 28
 22  1 20  7 32 33  3  8 19 36 17 43 30 15 12 44 24 29 41 48 39 34 23 42
 47 49]",1312.5160164864656
Known,100,200,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.4595625400543213,113.37109375,"[20 22 32 33  7 25 34 35 30 11 39 29 46 24 45  3 48  8 15 19 12 44 10 13
 28 37  1 16  0 49 21 42 31 47  9 23  6  4 43  2 40 14 17 36 27  5 38 18
 26 41]",848.9336516156175
Known,1000,200,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",40.87304639816284,114.78125,"[28 22 20 32 33  7 25 34 48  8 23  6  4 11 30 40  2 43 35  9 31 42 49 21
 47 36 17 14  3 41  1 26 45 39 15 19 12  0 27 44 10  5 38 46 24 29 18 16
 13 37]",701.3200445820403
Known,5000,200,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",224.90386986732483,116.58984375,"[44 12 19 15 34 48  8  3 45 29 46 24 28 22 20 32 33  7 25 43  2 40 14 17
 30 11 35  4 36  9 47 21 27  0 49 42 31  6 23 39 41 37  1 26 13 16 18 38
  5 10]",726.1075700015297
