max_iterations,min_tabu_size,max_tabu_size,num_cities,execution_time,memory_used,best_distance
3000,30,100,50,68.15,304.13,608.46
10,30,150,50,0.2,307.65,613.79
100,30,150,50,2.09,311.49,608.46
500,30,150,50,12.17,314.85,608.46
1000,30,150,50,24.21,318.45,608.46
3000,30,150,50,73.1,322.04,608.46
10,30,200,50,0.21,325.29,613.79
100,30,200,50,2.15,328.98,608.46
500,30,200,50,12.65,332.88,608.46
1000,30,200,50,25.01,336.2,608.46
3000,30,200,50,78.02,339.85,608.46
10,30,300,50,0.21,343.63,613.79
100,30,300,50,2.18,346.95,608.46
500,30,300,50,12.86,350.53,608.46
1000,30,300,50,27.31,354.02,608.46
3000,30,300,50,84.04,357.46,608.46
10,50,50,50,0.2,360.97,613.79
100,50,50,50,2.24,364.82,608.46
500,50,50,50,10.98,368.11,608.46
1000,50,50,50,21.76,371.65,608.46
3000,50,50,50,65.81,375.5,608.46
10,50,100,50,0.2,378.83,613.79
100,50,100,50,2.33,382.26,608.46
500,50,100,50,11.52,386.28,608.46
1000,50,100,50,23.51,389.39,608.46
3000,50,100,50,69.71,393.0,608.46
10,50,150,50,0.2,397.01,613.79
100,50,150,50,2.16,400.05,608.46
500,50,150,50,11.54,403.64,608.46
1000,50,150,50,24.27,407.61,608.46
3000,50,150,50,71.83,410.68,608.46
10,50,200,50,0.2,414.34,613.79
100,50,200,50,2.09,418.11,608.46
500,50,200,50,12.65,421.52,608.46
1000,50,200,50,25.25,425.02,608.46
3000,50,200,50,74.64,429.14,608.46
10,50,300,50,0.2,432.05,613.79
100,50,300,50,2.12,435.72,608.46
500,50,300,50,12.83,439.75,608.46
1000,50,300,50,27.64,442.87,608.46
3000,50,300,50,84.56,446.62,608.46
10,100,50,50,0.2,450.23,613.79
100,100,50,50,2.16,453.5,608.46
500,100,50,50,11.12,457.13,608.46
1000,100,50,50,22.09,461.36,608.46
3000,100,50,50,65.14,464.13,608.46
10,100,100,50,0.2,467.76,613.79
100,100,100,50,2.2,471.85,608.46
